"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Moniteau County, MO"	"29135"	"2020 "	"2020"	Suppressed	15585	Suppressed
	"Monroe County, MO"	"29137"	"2016"	"2016"	Suppressed	8558	Suppressed
	"Monroe County, MO"	"29137"	"2017"	"2017"	Suppressed	8612	Suppressed
	"Monroe County, MO"	"29137"	"2018"	"2018"	Suppressed	8664	Suppressed
	"Monroe County, MO"	"29137"	"2019"	"2019"	Suppressed	8644	Suppressed
	"Monroe County, MO"	"29137"	"2020 "	"2020"	Suppressed	8672	Suppressed
	"Montgomery County, MO"	"29139"	"2016"	"2016"	Suppressed	11620	Suppressed
	"Montgomery County, MO"	"29139"	"2017"	"2017"	Suppressed	11438	Suppressed
	"Montgomery County, MO"	"29139"	"2018"	"2018"	Suppressed	11534	Suppressed
	"Montgomery County, MO"	"29139"	"2019"	"2019"	Suppressed	11551	Suppressed
	"Montgomery County, MO"	"29139"	"2020 "	"2020"	Suppressed	11294	Suppressed
	"Morgan County, MO"	"29141"	"2016"	"2016"	Suppressed	20213	Suppressed
	"Morgan County, MO"	"29141"	"2017"	"2017"	Suppressed	20145	Suppressed
	"Morgan County, MO"	"29141"	"2018"	"2018"	Suppressed	20358	Suppressed
	"Morgan County, MO"	"29141"	"2019"	"2019"	Suppressed	20627	Suppressed
	"Morgan County, MO"	"29141"	"2020 "	"2020"	Suppressed	20716	Suppressed
	"New Madrid County, MO"	"29143"	"2016"	"2016"	Suppressed	17915	Suppressed
	"New Madrid County, MO"	"29143"	"2017"	"2017"	Suppressed	17582	Suppressed
	"New Madrid County, MO"	"29143"	"2018"	"2018"	Suppressed	17296	Suppressed
	"New Madrid County, MO"	"29143"	"2019"	"2019"	Suppressed	17076	Suppressed
	"New Madrid County, MO"	"29143"	"2020 "	"2020"	Suppressed	16693	Suppressed
	"Newton County, MO"	"29145"	"2016"	"2016"	Suppressed	58694	Suppressed
	"Newton County, MO"	"29145"	"2017"	"2017"	Suppressed	58290	Suppressed
	"Newton County, MO"	"29145"	"2018"	"2018"	Suppressed	58266	Suppressed
	"Newton County, MO"	"29145"	"2019"	"2019"	Suppressed	58236	Suppressed
	"Newton County, MO"	"29145"	"2020 "	"2020"	Suppressed	58451	Suppressed
	"Nodaway County, MO"	"29147"	"2016"	"2016"	Suppressed	22670	Suppressed
	"Nodaway County, MO"	"29147"	"2017"	"2017"	Suppressed	22472	Suppressed
	"Nodaway County, MO"	"29147"	"2018"	"2018"	Suppressed	22304	Suppressed
	"Nodaway County, MO"	"29147"	"2019"	"2019"	Suppressed	22092	Suppressed
